trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
78014_02_29_38087,05:15:00,05:15:00,000000043400001,15,,3,3,,
78014_02_29_38087,05:16:00,05:16:00,000000037800001,16,,3,3,,
78014_02_29_38087,05:17:00,05:17:00,000000007800001,17,,3,3,,
78014_02_29_38087,05:18:00,05:18:00,000000040100001,18,,3,3,,
78014_02_29_38087,05:20:00,05:20:00,000000040000001,19,,3,3,,
78014_02_29_38087,05:21:00,05:21:00,000000020700001,20,,3,3,,
78014_02_29_38087,05:22:00,05:22:00,000000046700001,21,,3,3,,
78014_02_29_38087,05:22:00,05:22:00,000000044700001,22,,3,3,,
78014_02_29_38087,05:24:00,05:24:00,000000000600003,23,,3,3,,
78014_01_33_38088,05:27:00,05:27:00,000000051600003,46,,0,0,,
78014_01_33_38088,05:29:00,05:29:00,000000007100001,47,,3,3,,
78014_01_33_38088,05:30:00,05:30:00,000000010700001,48,,3,3,,
78014_01_33_38088,05:30:00,05:30:00,000000043400001,49,,3,3,,
78014_01_33_38088,05:31:00,05:31:00,000000037800001,50,,3,3,,
78014_01_33_38088,05:32:00,05:32:00,000000007800001,51,,3,3,,
78014_01_33_38088,05:33:00,05:33:00,000000040100001,52,,3,3,,
78014_01_33_38088,05:35:00,05:35:00,000000040000001,53,,3,3,,
78014_01_33_38088,05:36:00,05:36:00,000000020700001,54,,3,3,,
78014_01_33_38088,05:37:00,05:37:00,000000046700001,55,,3,3,,
78014_01_33_38088,05:37:00,05:37:00,000000044700001,56,,3,3,,
78014_01_33_38088,05:39:00,05:39:00,000000000600003,57,,3,3,,
78014_03_37_38089,05:42:00,05:42:00,000000051600003,12,,0,0,,
78014_03_37_38089,05:44:00,05:44:00,000000007100001,13,,3,3,,
78014_03_37_38089,05:45:00,05:45:00,000000010700001,14,,3,3,,
78014_03_37_38089,05:45:00,05:45:00,000000043400001,15,,3,3,,
78014_03_37_38089,05:46:00,05:46:00,000000037800001,16,,3,3,,
78014_03_37_38089,05:47:00,05:47:00,000000007800001,17,,3,3,,
78014_03_37_38089,05:48:00,05:48:00,000000040100001,18,,3,3,,
78014_03_37_38089,05:50:00,05:50:00,000000040000001,19,,3,3,,
78014_03_37_38089,05:51:00,05:51:00,000000020700001,20,,3,3,,
78014_03_37_38089,05:52:00,05:52:00,000000046700001,21,,3,3,,
78014_03_37_38089,05:52:00,05:52:00,000000044700001,22,,3,3,,
78014_03_37_38089,05:54:00,05:54:00,000000000600003,23,,3,3,,
78014_02_41_38090,05:57:00,05:57:00,000000051600003,36,,0,0,,
78014_02_41_38090,05:59:00,05:59:00,000000007100001,37,,3,3,,
78014_02_41_38090,06:00:00,06:00:00,000000010700001,38,,3,3,,
78014_02_41_38090,06:00:00,06:00:00,000000043400001,39,,3,3,,
78014_02_41_38090,06:01:00,06:01:00,000000037800001,40,,3,3,,
