route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
80986,Leto_1,80986_02_203_28408,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_207_28409,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_211_28410,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_02_215_28411,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_219_28412,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_223_28413,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_227_28414,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_03_231_28415,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_235_28416,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_239_28417,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_243_28418,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_01_247_28419,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_251_28420,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_255_28421,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_257_28422,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_02_261_28423,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_06_263_28424,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_05_267_28425,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_269_28426,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_273_28427,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_275_28428,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_06_281_28429,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_05_283_28430,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_03_287_28431,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_289_28432,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_293_28433,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_06_295_28434,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_05_299_28435,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_301_28436,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_305_28437,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_04_307_28438,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_06_311_28439,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_313_28440,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_317_28441,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_05_319_28442,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_04_323_28443,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_325_28444,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_329_28445,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_06_331_28446,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_05_335_28447,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_337_28448,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_341_28449,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_04_343_28450,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_06_347_28451,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_349_28452,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_353_28453,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_05_355_28454,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_04_359_28455,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_361_28456,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_365_28457,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_06_367_28458,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_05_373_28459,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_377_28460,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_381_28461,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_04_383_28462,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_03_385_28463,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_387_28464,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_04_389_28465,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_393_28466,Cintorín Petržalka,,0,,AUT_00321,1,
80986,Leto_1,80986_02_395_28467,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_397_28468,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_399_28469,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_02_401_28470,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_03_403_28471,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_01_405_28472,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_02_407_28473,Nesto,,0,,AUT_00320,1,
80986,Leto_1,80986_03_409_28474,Kapitulský dvor,,0,,AUT_00319,1,
80986,Leto_1,80986_01_411_28475,Nesto,,0,,AUT_00320,1,
